05:24:41 PM: DEBUG [PoolCursor.py:10] __enter__() called
05:24:41 PM: DEBUG [ConecctionPool.py:25] Creación del pool exitosa: <psycopg2.pool.SimpleConnectionPool object at 0x0000019A9466BBE0>
05:24:41 PM: DEBUG [ConecctionPool.py:36] connection obtenida del pool: <connection object at 0x0000019A94523AB0; dsn: 'user=postgres password=xxx dbname=test_db host=127.0.0.1 port=5432', closed: 0> 
05:24:41 PM: DEBUG [PoolCursor.py:16] __exit__() called
05:24:41 PM: INFO [PoolCursor.py:22] transacction commit
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=1, username=lault0, password=Ap4IdqB
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=2, username=aodam1, password=LmOeQV
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=4, username=cdungate3, password=h8B2qiqPvL
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=5, username=scarcass4, password=sMbaML3qDK
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=6, username=kcathesyed5, password=Tm3dqN
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=7, username=nbashford6, password=NQxiEE8SnR7Z
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=8, username=rgolston7, password=uWFZTGq
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=9, username=rtommeo8, password=0WktxWrv3
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=10, username=tdowdell9, password=Lxxajs
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=11, username=rshawcrofta, password=G3xGJaPOHO
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=12, username=tseagraveb, password=Lx36ZNyXANEA
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=13, username=ldiruggeroc, password=iHzCkD
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=14, username=fhonischd, password=8PWcxMdByi
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=16, username=bobMAlo, password=password
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=17, username=cdredgeg, password=qxUyisQpsS
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=18, username=bmcguinessh, password=DeTqCdAoG
05:24:41 PM: INFO [UsuarioDao.py:64] Usuario: idUsuario=19, username=bsoamesi, password=3BuenhTY
